datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,sealevelpressure,cloudcover,visibility,moonphase,conditions,description,icon
25/06/1985,89.2,68.2,78.7,89.7,68.2,79.4,64.5,63.9,0.006,100,4.17,9.1,85.3,1017.0,74.6,8.0,0.25,Rain, Partially cloudy,Partly cloudy throughout the day with late afternoon rain.
26/06/1985,92.8,70.2,81.2,93.6,70.2,82.3,65.6,61.8,0.0,0,0.0,10.2,343.3,1014.1,30.6,6.8,0.29,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
27/06/1985,86.3,73.0,79.9,86.6,73.0,80.0,62.7,57.7,0.0,0,0.0,12.0,60.0,1012.8,52.4,7.9,0.33,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
28/06/1985,77.2,71.1,74.2,77.2,71.1,74.2,67.3,79.3,0.157,100,16.67,9.8,116.4,1013.1,94.6,4.6,0.36,Rain, Overcast,Cloudy skies throughout the day with rain.
29/06/1985,79.2,70.1,73.7,79.2,70.1,73.7,67.6,81.9,0.252,100,16.67,10.9,59.8,1013.6,94.9,3.0,0.4,Rain, Overcast,Cloudy skies throughout the day with rain.
30/06/1985,76.2,67.4,70.9,76.2,67.4,70.9,65.2,82.8,0.022,100,8.33,10.3,97.4,1015.1,86.5,5.0,0.43,Rain, Partially cloudy,Partly cloudy throughout the day with late afternoon rain.
01/07/1985,81.6,65.6,72.3,82.6,65.6,72.5,62.7,73.8,0.0,0,0.0,10.5,256.1,1018.0,68.5,4.1,0.47,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
02/07/1985,85.4,63.2,74.5,84.7,63.2,74.4,58.6,59.7,0.068,100,4.17,12.9,300.1,1019.3,34.2,6.4,0.5,Rain, Partially cloudy,Partly cloudy throughout the day with morning rain.
03/07/1985,88.1,63.7,77.3,87.1,63.7,77.2,60.0,57.9,0.0,0,0.0,10.0,301.3,1018.4,33.5,6.9,0.54,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
04/07/1985,83.8,68.4,74.0,84.1,68.4,74.1,62.6,68.8,0.214,100,20.83,12.8,263.8,1016.6,83.7,7.9,0.57,Rain, Partially cloudy,Partly cloudy throughout the day with rain.
05/07/1985,79.4,66.4,71.2,79.4,66.4,71.2,65.8,83.4,0.65,100,25.0,11.2,214.4,1016.1,83.8,6.5,0.6,Rain, Partially cloudy,Partly cloudy throughout the day with a chance of rain throughout the day.
06/07/1985,72.7,67.5,69.8,72.7,67.5,69.8,66.2,88.4,1.527,100,70.83,7.8,226.8,1017.0,98.7,5.2,0.63,Rain, Overcast,Cloudy skies throughout the day with a chance of rain throughout the day.
07/07/1985,85.7,66.7,75.3,85.9,66.7,75.6,65.0,73.7,0.0,0,0.0,7.6,288.5,1020.0,65.7,5.1,0.67,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
08/07/1985,88.8,68.8,78.9,89.3,68.8,79.5,65.6,66.7,0.0,0,0.0,11.8,299.2,1020.1,60.5,6.3,0.7,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
09/07/1985,90.5,69.7,80.5,94.9,69.7,82.6,67.4,65.8,0.0,0,0.0,13.5,314.9,1016.3,8.8,7.6,0.75,Clear,Clear conditions throughout the day.,clear-day
10/07/1985,92.8,72.5,82.7,96.9,72.5,85.1,68.9,65.3,0.0,0,0.0,10.8,295.7,1013.4,29.8,7.3,0.76,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day
11/07/1985,91.9,73.6,81.4,95.8,73.6,82.9,67.5,64.3,0.0,0,0.0,13.1,281.4,1014.0,76.9,7.5,0.8,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
12/07/1985,92.2,71.3,81.5,96.5,71.3,82.9,66.5,62.6,0.034,100,4.17,9.5,270.8,1015.6,38.3,7.9,0.83,Rain, Partially cloudy,Partly cloudy throughout the day with morning rain.
13/07/1985,93.1,70.8,80.8,96.5,70.8,82.5,67.4,65.6,0.0,0,0.0,10.9,272.8,1018.0,53.9,7.0,0.86,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
14/07/1985,89.3,71.9,78.0,94.6,71.9,79.2,69.2,75.9,0.427,100,25.0,12.2,258.7,1018.8,77.2,4.2,0.89,Rain, Partially cloudy,Partly cloudy throughout the day with rain.
15/07/1985,88.1,69.3,75.5,95.8,69.3,77.0,69.2,82.3,1.02,100,20.83,13.2,280.1,1016.4,83.1,3.5,0.92,Rain, Partially cloudy,Partly cloudy throughout the day with rain.
16/07/1985,88.2,69.7,74.5,96.7,69.7,75.4,69.0,83.7,0.036,100,12.5,16.0,297.0,1014.8,87.0,5.8,0.96,Rain, Partially cloudy,Partly cloudy throughout the day with rain.
17/07/1985,87.6,69.3,78.3,91.9,69.3,80.2,68.6,73.7,0.0,0,0.0,10.0,77.7,1015.1,49.0,6.0,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
18/07/1985,88.1,71.0,79.4,89.9,71.0,80.5,67.8,70.0,0.0,0,0.0,12.5,94.7,1018.0,12.9,4.8,0.02,Clear,Clear conditions throughout the day.,clear-day
